"Conciliação","Conciliação"
"Esta consulta permite obter as transações recebidas por você em um intervalo de datas. Ela pode ser usada periodicamente para verificar se o seu sistema recebeu todas as notificações de transações enviadas pelo PagSeguro, de forma a conciliar as transações armazenadas em seu sistema com o PagSeguro.","Esta consulta permite obter as transações recebidas por você em um intervalo de datas. Ela pode ser usada periodicamente para verificar se o seu sistema recebeu todas as notificações de transações enviadas pelo PagSeguro, de forma a conciliar as transações armazenadas em seu sistema com o PagSeguro."
"Preencha o e-mail do vendedor.","Preencha o e-mail do vendedor."
"Preencha o token.","Preencha o token."
"Usuário não autorizado, verifique o e-mail e token se estão corretos.","Usuário não autorizado, verifique o e-mail e token se estão corretos."
"Nenhum resultado.","Nenhum resultado."
"Dias","Dias"
"Pesquisar","Pesquisar"
"Não encontra suas transações antigas?","Não encontra suas transações antigas?"
"Somente serão exibidas transações criadas após a instalação do módulo em sua versão 2.3. Transações criadas antes desta versão não serão exibidas.","Somente serão exibidas transações criadas após a instalação do módulo em sua versão 2.3. Transações criadas antes desta versão não serão exibidas."
"Data do Pedido","Data do Pedido"
"ID Magento","ID Magento"
"ID PagSeguro","ID PagSeguro"
"Status Magento","Status Magento"
"Editar","Editar"
"Atualizar","Atualizar"
"Anterior","Anterior"
"Próximo","Próximo"
"Primeiro","Primeiro"
"Último","Último"
"Carregando","Carregando"
"Abandonadas","Abandonadas"
"Com esta funcionalidade, você poderá listar as transações abandonadas e disparar, manualmente, um e-mail para seu comprador. Este e-mail conterá um link que o redirecionará para o fluxo de pagamento, exatamente no ponto onde ele parou.","Com esta funcionalidade, você poderá listar as transações abandonadas e disparar, manualmente, um e-mail para seu comprador. Este e-mail conterá um link que o redirecionará para o fluxo de pagamento, exatamente no ponto onde ele parou."
"Consulta de transações abandonadas está desativado.","Consulta de transações abandonadas está desativado."
"Enviar selecionados","Enviar selecionados"
"Selecionar","Selecionar"
"Data do Pedido","Data do Pedido"
"Data de Expiração","Data de Expiração"
"Enviar e-mail","Enviar e-mail"
"Detalhes","Detalhes"
"Selecione pelo menos um campo da coluna 'Enviar'.","Selecione pelo menos um campo da coluna 'Enviar'."
"Please confirm site switching. All data that hasn't been saved will be lost.","Por favor, confirme o ambiente. Todos os registros listados seram perdidos."
"Choose Store View:","Selecione um Ambiente:"
"PagSeguro - Abandoned Transactions","PagSeguro - Transações Abandonadas"
"Transação abandonada","Transação abandonada"
"E-mail enviado com sucesso!","E-mail enviado com sucesso!"
"E-mails enviado com sucesso!","E-mails enviado com sucesso!"
"Versão do PHP superior à 5.3.3.","Versão do PHP superior à 5.3.3."
"PagSeguroLibrary: É necessária a versão 5.3.3 do PHP ou maior.","PagSeguroLibrary: É necessária a versão 5.3.3 do PHP ou maior."
"PagSeguroLibrary: Biblioteca padrão do PHP (SPL) é necessária.","PagSeguroLibrary: Biblioteca padrão do PHP (SPL) é necessária."
"Biblioteca padrão do PHP (SPL) instalada.","Biblioteca padrão do PHP (SPL) instalada."
"PagSeguroLibrary: A biblioteca cURL é necessária.","PagSeguroLibrary: A biblioteca cURL é necessária."
"Biblioteca cURL instalada.","Biblioteca cURL instalada."
"PagSeguroLibrary: A extensão DOM XML é necessária.","PagSeguroLibrary: A extensão DOM XML é necessária."
"DOM XML instalado.","DOM XML instalado."
"Moeda REAL não instalada.","Moeda REAL não instalada."
"Moeda REAL instalada.","Moeda REAL instalada."
